"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","ROW _ i","Data Resource ID","Data Resource Name","Water Observations From Space","Aridity index - annual mean","Distance - to any water (weighted)","2030A1BMk35M: Water potential - annual mean","Moisture - average","Moisture - variability","Occurrence status assumed to be present","Geodetic datum assumed WGS84","Name not recognised"
"93ef1bf1-3391-45f2-b8ca-d324c83c18ea","","","","","","","","","","","","","","","","","","","-36.05245801","146.739537","","-36.05245801","146.739537","","","","","","","","","","","true","1026","drt19609","","0.0","0.7575681","0.0","-0.9948337","47.0","9.0","true","true","true"
"94307e1f-f62c-49e5-9a0b-19dc9d58fa96","","","","","","","","","","","","","","","","","","","-37.80032496","148.363464","","-37.80032496","148.363464","","","","","","","","","","","true","459","drt19609","","2.1126761","","0.02828427","-0.98144364","52.0","8.0","true","true","true"
"94402b43-520c-4672-b3c8-41c46fdfae89","","","","","","","","","","","","","","","","","","","-34.63029899","142.846668","","-34.63029899","142.846668","","","","","","","","","","","true","799","drt19609","","0.0","0.26521558","0.0","-1.4917499","38.0","8.0","true","true","true"
"944deb90-42fc-414c-8bf8-517f232530ae","","","","","","","","","","","","","","","","","","","-34.78746001","142.480885","","-34.78746001","142.480885","","","","","","","","","","","true","644","drt19609","","2.3809524","0.27934048","0.0","-1.5","39.0","8.0","true","true","true"
"9451f27f-7d87-4993-b0dd-ed3cca6e2d72","","","","","","","","","","","","","","","","","","","-35.95415899","144.958579","","-35.95415899","144.958579","","","","","","","","","","","true","26","drt19609","","51.851852","0.4161441","0.0","-1.4498929","43.0","7.0","true","true","true"
"9487dee7-9d35-4661-96af-7effcf46f7a2","","","","","","","","","","","","","","","","","","","-38.05788299","147.24724","","-38.05788299","147.24724","","","","","","","","","","","true","268","drt19609","","1.1560694","0.6284355","0.0","-1.3439254","49.0","6.0","true","true","true"
"94973657-4d71-4b72-821a-300e6e3ccf6a","","","","","","","","","","","","","","","","","","","-34.17012496","141.192066","","-34.17012496","141.192066","","","","","","","","","","","true","1135","drt19609","","16.216217","0.19800694","0.0","-1.5","37.0","9.0","true","true","true"
"94a202dc-5245-4e45-b7e7-41488767ebf4","","","","","","","","","","","","","","","","","","","-38.35066597","143.014639","","-38.35066597","143.014639","","","","","","","","","","","true","439","drt19609","","38.98305","1.1504267","0.0","-0.75169426","60.0","7.0","true","true","true"
"94b76eb6-0d62-47b1-8371-01acf9041301","","","","","","","","","","","","","","","","","","","-37.35634896","146.760921","","-37.35634896","146.760921","","","","","","","","","","","true","582","drt19609","","0.0","4.787387","0.036055513","-0.12710948","72.0","6.0","true","true","true"
"954d0f48-94b2-4d7c-b1b2-697d83a70869","","","","","","","","","","","","","","","","","","","-38.33220701","143.585624","","-38.33220701","143.585624","","","","","","","","","","","true","271","drt19609","","75.86207","0.94913596","0.0","-0.98316807","","","true","true","true"
"95cc01ac-4ae7-4e07-9128-299323591bbc","","","","","","","","","","","","","","","","","","","-38.15506898","143.163","","-38.15506898","143.163","","","","","","","","","","","true","252","drt19609","","77.710846","0.87669516","0.0","-0.9573782","54.0","4.0","true","true","true"
"96fb7c19-64f6-4014-844f-2902baf825d1","","","","","","","","","","","","","","","","","","","-35.61046802","143.731534","","-35.61046802","143.731534","","","","","","","","","","","true","1108","drt19609","","12.698413","0.3456595","0.022360679","-1.4167688","41.0","8.0","true","true","true"
"96fefa60-5dd2-4b5c-a518-a61db152c52a","","","","","","","","","","","","","","","","","","","-35.63404103","143.742124","","-35.63404103","143.742124","","","","","","","","","","","true","478","drt19609","","30.612246","0.34736854","0.0","-1.4131776","41.0","8.0","true","true","true"
"970f4238-5e7a-4715-b303-85de266a96f7","","","","","","","","","","","","","","","","","","","-36.05245801","146.739537","","-36.05245801","146.739537","","","","","","","","","","","true","1030","drt19609","","0.0","0.7575681","0.0","-0.9948337","47.0","9.0","true","true","true"
